iter	Passed	Remaining
0	4639	1155219
1	8537	1058625
2	12168	1001892
3	15714	966432
4	19175	939607
5	22637	920599
6	26138	907375
7	29893	904263
8	33833	905990
9	37631	903147
10	41165	894419
11	44680	886157
12	48092	876760
13	51943	875614
14	55879	875447
15	59858	875431
16	63648	872362
17	67599	871281
18	71700	871723
19	75565	869007
20	79566	867653
21	83411	864449
22	87551	864099
23	91376	860466
24	95065	855589
25	98623	849680
26	102180	843936
27	105734	838321
28	109253	832585
29	112790	827130
30	116529	823223
31	120321	819692
32	124025	815560
33	127644	810915
34	131379	807045
35	134989	802437
36	138562	797669
37	142151	793057
38	145763	788619
39	149393	784315
40	152940	779625
41	156542	775257
42	160126	770839
43	163758	766688
44	167525	763173
45	171297	759669
46	175872	759621
47	179791	756624
48	183771	753837
49	187961	751844
50	192071	749456
51	196479	748133
52	200677	745912
53	204426	741991
54	207987	737408
55	211753	733573
56	215676	730272
57	219337	726083
58	222951	721759
59	226808	718227
60	230707	714813
61	234582	711313
62	238295	707322
63	241888	702989
64	245496	698720
65	249108	694483
66	252652	690081
67	256331	686062
68	259973	681958
69	263619	677877
70	267247	673765
71	270936	669815
72	274620	665859
73	278263	661814
74	281899	657765
75	285479	653598
76	289223	649814
77	293178	646496
78	297219	643348
79	301121	639883
80	305115	636599
81	308824	632712
82	312367	628498
83	315947	624372
84	319568	620337
85	323222	616378
86	326937	612538
87	330738	608859
88	334563	605221
89	338237	601311
90	341959	597489
91	345728	593751
92	349494	590006
93	353109	586010
94	356795	582139
95	360583	578436
96	364364	574719
97	367964	570720
98	371685	566913
99	375533	563300
100	379449	559782
101	383118	555897
102	386848	552103
103	390606	548350
104	394414	544667
105	398079	540787
106	401808	536996
107	405564	533242
108	409361	529541
109	413053	525704
110	417223	522469
111	421266	519060
112	425586	515976
113	429749	512683
114	433902	509364
115	438211	506210
116	442546	503065
117	446786	499794
118	450788	496246
119	454595	492478
120	458256	488554
121	461941	484659
122	465722	480867
123	469368	476938
124	472996	472996
125	476786	469218
126	480622	465485
127	484442	461734
128	488174	457900
129	491891	454053
130	495698	450290
131	499534	446553
132	503171	442639
133	506938	438842
134	510770	435100
135	513559	430484
136	516239	425803
137	519884	421934
138	523477	418029
139	526157	413409
140	528672	408689
141	531165	403985
142	534976	400296
143	538739	396571
144	542604	392920
145	546521	389302
146	550432	385677
147	554149	381913
148	558008	378247
149	561888	374592
150	565786	370945
151	569520	367190
152	572120	362716
153	574614	358201
154	577205	353771
155	581101	350150
156	584927	346485
157	588453	342643
158	591123	338315
159	594800	334575
160	597329	330200
161	599831	325834
162	602544	321603
163	605243	317383
164	607947	313185
165	611728	309549
166	614412	305366
167	618319	301798
168	620969	297624
169	623858	293580
170	626641	289501
171	630505	285927
172	634243	282293
173	636863	278170
174	639457	274053
175	642206	270018
176	644745	265911
177	647235	261802
178	649891	257778
179	652656	253810
180	656452	250249
181	659043	246236
182	661650	242243
183	664695	238423
184	667767	234621
185	670838	230826
186	674087	227099
187	676627	223143
188	679232	219223
189	682311	215466
190	685540	211763
191	688763	208063
192	692089	204399
193	695134	200657
194	697974	196864
195	700669	193041
196	703545	189278
197	706272	185485
198	709042	181714
199	711824	177956
200	715109	174330
201	718744	170790
202	723182	167436
203	726000	163705
204	728788	159978
205	731720	156289
206	734830	152645
207	737404	148898
208	740198	145206
209	742986	141521
210	745570	137806
211	748391	134145
212	751382	130521
213	754312	126893
214	758206	123428
215	760940	119777
216	763579	116120
217	766309	112485
218	769037	108859
219	771663	105226
220	774283	101602
221	777157	98019
222	780036	94443
223	782755	90855
224	785786	87309
225	788655	83751
226	791413	80187
227	794115	76625
228	797062	73093
229	799656	69535
230	802246	65985
231	804776	62439
232	807336	58904
233	809944	55380
234	813140	51902
235	815991	48406
236	818827	44914
237	821913	41440
238	824910	37966
239	827723	34488
240	830844	31027
241	834210	27577
242	837152	24115
243	840431	20666
244	843221	17208
245	846085	13757
246	849116	10313
247	852659	6876
248	856125	3438
249	859188	0
